STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/13/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/14/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/15/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/16/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/17/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/18/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/19/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/20/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/21/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/22/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/23/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/24/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/25/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/26/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/27/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/28/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/29/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/30/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/1/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/2/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/3/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/4/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/5/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/6/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/7/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/8/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/9/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/10/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/11/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/12/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/13/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/14/2017,76
