"STATION","NAME","DATE","TMAX","TMIN"
"NOE00134634","LEINSTRAND, NO","2017-06-09",,
"NOE00134634","LEINSTRAND, NO","2017-06-10",,
"NOE00134634","LEINSTRAND, NO","2017-06-11",,
"NOE00134634","LEINSTRAND, NO","2017-06-12",,
"NOE00134634","LEINSTRAND, NO","2017-06-13",,
"NOE00134634","LEINSTRAND, NO","2017-06-14",,
"NOE00134634","LEINSTRAND, NO","2017-06-15",,
"NOE00134634","LEINSTRAND, NO","2017-06-16",,
"NOE00134634","LEINSTRAND, NO","2017-06-17",,
"NOE00134634","LEINSTRAND, NO","2017-06-18",,
"NOE00134634","LEINSTRAND, NO","2017-06-19",,
"NOE00134634","LEINSTRAND, NO","2017-06-20",,
"NOE00134634","LEINSTRAND, NO","2017-06-21",,
"NOE00134634","LEINSTRAND, NO","2017-06-22",,
"NOE00134634","LEINSTRAND, NO","2017-06-23",,
"NOE00134634","LEINSTRAND, NO","2017-06-24",,
"NOE00134634","LEINSTRAND, NO","2017-06-25",,
"NOE00134634","LEINSTRAND, NO","2017-06-26",,
"NOE00134634","LEINSTRAND, NO","2017-06-27",,
"NOE00134634","LEINSTRAND, NO","2017-06-28",,
"NOE00134634","LEINSTRAND, NO","2017-06-29",,
"NOE00134634","LEINSTRAND, NO","2017-06-30",,
"NOE00134634","LEINSTRAND, NO","2017-07-01",,
"NOE00134634","LEINSTRAND, NO","2017-07-02",,
"NOE00134634","LEINSTRAND, NO","2017-07-03",,
"NOE00134634","LEINSTRAND, NO","2017-07-04",,
"NOE00134634","LEINSTRAND, NO","2017-07-05",,
"NOE00134634","LEINSTRAND, NO","2017-07-06",,
"NOE00134634","LEINSTRAND, NO","2017-07-07",,
"NOE00134634","LEINSTRAND, NO","2017-07-08",,
"NOE00134634","LEINSTRAND, NO","2017-07-09",,
"NOE00134634","LEINSTRAND, NO","2017-07-10",,
"NOE00134634","LEINSTRAND, NO","2017-07-11",,
"NOE00134634","LEINSTRAND, NO","2017-07-12",,
"NOE00134634","LEINSTRAND, NO","2017-07-13",,
"NOE00134634","LEINSTRAND, NO","2017-07-14",,
"NOE00134634","LEINSTRAND, NO","2017-07-15",,
"NOE00134634","LEINSTRAND, NO","2017-07-16",,
"NOE00134634","LEINSTRAND, NO","2017-07-17",,
"NOE00134634","LEINSTRAND, NO","2017-07-18",,
"NOE00134634","LEINSTRAND, NO","2017-07-19",,
"NOE00134634","LEINSTRAND, NO","2017-07-20",,
"NOE00134634","LEINSTRAND, NO","2017-07-21",,
"NOE00134634","LEINSTRAND, NO","2017-07-22",,
"NOE00134634","LEINSTRAND, NO","2017-07-23",,
"NOE00134634","LEINSTRAND, NO","2017-07-24",,
"NOE00134634","LEINSTRAND, NO","2017-07-25",,
"NOE00134634","LEINSTRAND, NO","2017-07-26",,
"NOE00134634","LEINSTRAND, NO","2017-07-27",,
