Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
"Oslo - Blindern, NO",SN18700,25.07.1980,17.6
"Oslo - Blindern, NO",SN18700,26.07.1980,19.7
"Oslo - Blindern, NO",SN18700,27.07.1980,21.9
"Oslo - Blindern, NO",SN18700,28.07.1980,22.1
"Oslo - Blindern, NO",SN18700,29.07.1980,22.8
"Oslo - Blindern, NO",SN18700,30.07.1980,21.3
"Oslo - Blindern, NO",SN18700,31.07.1980,21.4
"Oslo - Blindern, NO",SN18700,01.08.1980,18.6
"Oslo - Blindern, NO",SN18700,02.08.1980,18.5
"Oslo - Blindern, NO",SN18700,03.08.1980,18.1
"Oslo - Blindern, NO",SN18700,04.08.1980,18.8
"Oslo - Blindern, NO",SN18700,05.08.1980,17.7
"Oslo - Blindern, NO",SN18700,06.08.1980,19
"Oslo - Blindern, NO",SN18700,07.08.1980,15.7
"Oslo - Blindern, NO",SN18700,08.08.1980,12.9
"Oslo - Blindern, NO",SN18700,09.08.1980,13.6
"Oslo - Blindern, NO",SN18700,10.08.1980,14.3
"Oslo - Blindern, NO",SN18700,11.08.1980,15.3
"Oslo - Blindern, NO",SN18700,12.08.1980,15.2
"Oslo - Blindern, NO",SN18700,13.08.1980,17.9
"Oslo - Blindern, NO",SN18700,14.08.1980,17.1
"Oslo - Blindern, NO",SN18700,15.08.1980,18.1
"Oslo - Blindern, NO",SN18700,16.08.1980,19.4
"Oslo - Blindern, NO",SN18700,17.08.1980,16.5
"Oslo - Blindern, NO",SN18700,18.08.1980,16
"Oslo - Blindern, NO",SN18700,19.08.1980,15.1
"Oslo - Blindern, NO",SN18700,20.08.1980,13.2
"Oslo - Blindern, NO",SN18700,21.08.1980,12.9
"Oslo - Blindern, NO",SN18700,22.08.1980,15.4
"Oslo - Blindern, NO",SN18700,23.08.1980,14.5
"Oslo - Blindern, NO",SN18700,24.08.1980,12.8
"Oslo - Blindern, NO",SN18700,25.08.1980,11
"Oslo - Blindern, NO",SN18700,26.08.1980,11.7
"Oslo - Blindern, NO",SN18700,27.08.1980,11.9
"Oslo - Blindern, NO",SN18700,28.08.1980,11.9
"Oslo - Blindern, NO",SN18700,29.08.1980,12.7
"Oslo - Blindern, NO",SN18700,30.08.1980,12.6
"Oslo - Blindern, NO",SN18700,31.08.1980,12.2
"Oslo - Blindern, NO",SN18700,01.09.1980,12.7
"Oslo - Blindern, NO",SN18700,02.09.1980,13.9
"Oslo - Blindern, NO",SN18700,03.09.1980,14.6
"Oslo - Blindern, NO",SN18700,04.09.1980,14.9
"Oslo - Blindern, NO",SN18700,05.09.1980,13.5
"Oslo - Blindern, NO",SN18700,06.09.1980,13.6
"Oslo - Blindern, NO",SN18700,07.09.1980,15
"Oslo - Blindern, NO",SN18700,08.09.1980,14.8
"Oslo - Blindern, NO",SN18700,09.09.1980,14.9
"Oslo - Blindern, NO",SN18700,10.09.1980,11.1
"Oslo - Blindern, NO",SN18700,11.09.1980,11.1
"Oslo - Blindern, NO",SN18700,12.09.1980,7.8
"Oslo - Blindern, NO",SN18700,13.09.1980,13.1
"Oslo - Blindern, NO",SN18700,14.09.1980,12.8
"Oslo - Blindern, NO",SN18700,15.09.1980,10.8
"Oslo - Blindern, NO",SN18700,16.09.1980,8.2
"Oslo - Blindern, NO",SN18700,17.09.1980,10.5
"Oslo - Blindern, NO",SN18700,18.09.1980,12.2
"Oslo - Blindern, NO",SN18700,19.09.1980,10.7
"Oslo - Blindern, NO",SN18700,20.09.1980,11.8
"Oslo - Blindern, NO",SN18700,21.09.1980,13
"Oslo - Blindern, NO",SN18700,22.09.1980,10.8
"Oslo - Blindern, NO",SN18700,23.09.1980,12.2
"Oslo - Blindern, NO",SN18700,24.09.1980,13.2
"Oslo - Blindern, NO",SN18700,25.09.1980,13.2
"Oslo - Blindern, NO",SN18700,26.09.1980,9.2
"Oslo - Blindern, NO",SN18700,27.09.1980,8.5
"Oslo - Blindern, NO",SN18700,28.09.1980,10.1
"Oslo - Blindern, NO",SN18700,29.09.1980,10.2
"Oslo - Blindern, NO",SN18700,30.09.1980,10.8
"Oslo - Blindern, NO",SN18700,01.10.1980,7.2
"Oslo - Blindern, NO",SN18700,02.10.1980,11.1
"Oslo - Blindern, NO",SN18700,03.10.1980,7.3
"Oslo - Blindern, NO",SN18700,04.10.1980,9.4
"Oslo - Blindern, NO",SN18700,05.10.1980,8.7
"Oslo - Blindern, NO",SN18700,06.10.1980,8.9
"Oslo - Blindern, NO",SN18700,07.10.1980,8.5
"Oslo - Blindern, NO",SN18700,08.10.1980,9.5
"Oslo - Blindern, NO",SN18700,09.10.1980,8.8
"Oslo - Blindern, NO",SN18700,10.10.1980,9.1
"Oslo - Blindern, NO",SN18700,11.10.1980,5.6
"Oslo - Blindern, NO",SN18700,12.10.1980,8.3
"Oslo - Blindern, NO",SN18700,13.10.1980,6.8
"Oslo - Blindern, NO",SN18700,14.10.1980,6.5
"Oslo - Blindern, NO",SN18700,15.10.1980,6.2
"Oslo - Blindern, NO",SN18700,16.10.1980,4.1
"Oslo - Blindern, NO",SN18700,17.10.1980,1.2
"Oslo - Blindern, NO",SN18700,18.10.1980,5.2
"Oslo - Blindern, NO",SN18700,19.10.1980,5.4
"Oslo - Blindern, NO",SN18700,20.10.1980,4
"Oslo - Blindern, NO",SN18700,21.10.1980,0.8
"Oslo - Blindern, NO",SN18700,22.10.1980,-1.1
"Oslo - Blindern, NO",SN18700,23.10.1980,0.4
"Oslo - Blindern, NO",SN18700,24.10.1980,1.1
"Oslo - Blindern, NO",SN18700,25.10.1980,0.8
"Oslo - Blindern, NO",SN18700,26.10.1980,-2.3
"Oslo - Blindern, NO",SN18700,27.10.1980,1.3
"Oslo - Blindern, NO",SN18700,28.10.1980,3.3
"Oslo - Blindern, NO",SN18700,29.10.1980,4.2
"Oslo - Blindern, NO",SN18700,30.10.1980,-1
"Oslo - Blindern, NO",SN18700,31.10.1980,-4.2
"Oslo - Blindern, NO",SN18700,01.11.1980,-1.6
"Oslo - Blindern, NO",SN18700,02.11.1980,-0.8
"Oslo - Blindern, NO",SN18700,03.11.1980,-2.1
"Oslo - Blindern, NO",SN18700,04.11.1980,1.4
"Oslo - Blindern, NO",SN18700,05.11.1980,3
"Oslo - Blindern, NO",SN18700,06.11.1980,0.4
"Oslo - Blindern, NO",SN18700,07.11.1980,0.2
"Oslo - Blindern, NO",SN18700,08.11.1980,-3.2
"Oslo - Blindern, NO",SN18700,09.11.1980,2
"Oslo - Blindern, NO",SN18700,10.11.1980,-1.8
"Oslo - Blindern, NO",SN18700,11.11.1980,-1.7
"Oslo - Blindern, NO",SN18700,12.11.1980,-2.4
"Oslo - Blindern, NO",SN18700,13.11.1980,-1
"Oslo - Blindern, NO",SN18700,14.11.1980,-4.2
"Oslo - Blindern, NO",SN18700,15.11.1980,-3
"Oslo - Blindern, NO",SN18700,16.11.1980,-0.3
"Oslo - Blindern, NO",SN18700,17.11.1980,-2.5
"Oslo - Blindern, NO",SN18700,18.11.1980,-0.7
"Oslo - Blindern, NO",SN18700,19.11.1980,-3.9
"Oslo - Blindern, NO",SN18700,20.11.1980,-1.9
"Oslo - Blindern, NO",SN18700,21.11.1980,4.9
"Oslo - Blindern, NO",SN18700,22.11.1980,4.4
"Oslo - Blindern, NO",SN18700,23.11.1980,6.7
"Oslo - Blindern, NO",SN18700,24.11.1980,-0.6
